2025-08-23 13:07:40,111 INFO: Discovered station-like nodes: 0
2025-08-23 13:07:48,660 INFO: Discovered station-like nodes: 0
2025-08-23 13:10:14,251 INFO: Root tag after strip: meteorology
2025-08-23 13:10:14,355 INFO: Generic station-like nodes discovered: 1153
2025-08-23 13:10:14,355 INFO: Discovered station-like nodes: 1153
2025-08-23 13:10:14,356 INFO: Station parsed: name=ACHNA, lat=35.0255056, lon=33.7744306, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=ACHNA, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=35.0255056, lat=35.0255056, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=33.7744306, lat=None, lon=33.7744306, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=AGROS, lat=34.914875, lon=33.0156667, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=AGROS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=34.9148750, lat=34.914875, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=33.0156667, lat=None, lon=33.0156667, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=AKAMAS, lat=35.025974, lon=32.328942, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=AKAMAS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=35.025974, lat=35.025974, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=32.328942, lat=None, lon=32.328942, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=ASTROMERITIS, lat=35.1330472, lon=33.0220222, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=ASTROMERITIS, lat=None, lon=None, temp=None, rh=None, wind_mps=None
2025-08-23 13:10:14,356 INFO: Station parsed: name=35.1330472, lat=35.1330472, lon=None, temp=None, rh=None, wind_mps=None
