lat,lon,rain_7d_mm
35.0255,33.7744,0.0
34.9149,33.0157,0.0
35.026,32.3289,0.0
35.133,33.022,0.0
35.141,33.3966,0.0
35.0502,33.5423,0.0
34.6844,32.7574,0.0
34.971,34.0708,0.0
34.943,32.8655,0.0
34.8613,33.3825,0.0
34.8473,33.1434,0.0
34.9209,33.1342,0.0
35.0424,33.9176,0.0
35.0053,32.8263,0.0
35.0722,32.774,0.0
34.9298,32.586,0.1
34.8439,32.8445,0.2
34.7229,32.9224,0.0
35.1816,32.6871,0.0
34.9492,32.9825,0.0
34.8735,33.6173,0.0
34.7154,32.4791,0.0
34.8958,33.2929,0.0
35.1644,33.3561,0.0
34.6457,33.004,0.0
35.0678,32.8982,0.0
35.0119,32.528,0.0
34.8159,32.7852,0.2
35.1724,33.2149,0.0
34.9611,33.331,0.0
34.7794,32.4385,0.0
34.7388,33.159,0.0
34.7076,33.2617,0.0
34.9478,32.9258,0.0
35.0419,32.4372,0.0
34.944,33.0189,0.0
34.9499,32.8306,0.0
35.1415,32.6163,0.0
35.0173,33.2492,0.0
34.677,33.0376,0.0
34.9894,32.6818,0.0
34.9245,32.8815,0.0
35.1445,33.4034,0.0
35.0141,33.0492,0.0
34.9778,33.838,0.0
34.7413,33.3271,0.0
